sku_id,category_id,base_demand,unit_price,weekend_mult,holiday_mult
108,3,4,172.31,1.3,1.5
109,4,2,337.65,1.2,1.3
110,3,36,235.47,1.3,1.5
111,3,5,24.22,1.3,1.5
112,3,11,183.29,1.3,1.5
113,4,16,139.41,1.2,1.3
114,4,4,313.33,1.2,1.3
115,4,5,208.62,1.2,1.3
116,3,10,320.53,1.3,1.5
117,4,2,373.3,1.2,1.3
118,2,1,17.55,1.1,2.5
119,1,6,345.81,1.4,1.2
120,1,3,90.78,1.4,1.2
121,1,2,51.47,1.4,1.2
122,1,5,331.8,1.4,1.2
123,1,9,330.27,1.4,1.2
124,1,44,307.8,1.4,1.2
125,3,7,83.53,1.3,1.5
126,2,4,12.12,1.1,2.5
127,2,12,176.42,1.1,2.5
128,2,11,219.76,1.1,2.5
129,3,5,12.58,1.3,1.5
130,3,11,254.05,1.3,1.5
131,1,34,309.85,1.4,1.2
132,4,10,323.0,1.2,1.3
133,1,9,401.47,1.4,1.2
134,4,15,197.14,1.2,1.3
135,4,8,411.22,1.2,1.3
136,4,5,196.12,1.2,1.3
137,1,2,140.61,1.4,1.2
138,4,11,54.89,1.2,1.3
139,2,8,171.59,1.1,2.5
140,2,5,162.89,1.1,2.5
141,2,3,134.04,1.1,2.5
142,3,20,63.49,1.3,1.5
143,1,11,24.4,1.4,1.2
144,1,6,402.72,1.4,1.2
145,1,1,286.42,1.4,1.2
146,3,22,495.3,1.3,1.5
147,4,5,292.37,1.2,1.3
148,3,4,465.72,1.3,1.5
149,1,13,371.25,1.4,1.2
150,3,3,56.05,1.3,1.5
151,1,5,197.86,1.4,1.2
152,1,99,448.28,1.4,1.2
153,1,5,478.62,1.4,1.2
154,3,16,475.55,1.3,1.5
155,3,3,50.39,1.3,1.5
156,4,7,167.69,1.2,1.3
157,3,5,465.81,1.3,1.5
158,2,9,33.49,1.1,2.5
159,3,31,484.48,1.3,1.5
160,1,10,381.95,1.4,1.2
161,4,7,215.92,1.2,1.3
162,4,7,41.02,1.2,1.3
163,2,2,292.75,1.1,2.5
164,1,7,188.47,1.4,1.2
165,4,9,297.98,1.2,1.3
166,4,6,191.25,1.2,1.3
167,3,1,354.02,1.3,1.5
168,2,5,453.65,1.1,2.5
169,3,2,205.58,1.3,1.5
170,2,5,32.87,1.1,2.5
171,4,12,373.38,1.2,1.3
172,3,11,293.77,1.3,1.5
173,2,4,46.03,1.1,2.5
174,1,1,115.68,1.4,1.2
175,2,1,26.48,1.1,2.5
176,1,11,496.52,1.4,1.2
177,1,14,42.34,1.4,1.2
178,3,3,316.55,1.3,1.5
179,2,3,369.86,1.1,2.5
180,3,25,144.08,1.3,1.5
181,4,6,57.84,1.2,1.3
182,1,4,142.3,1.4,1.2
183,4,2,118.55,1.2,1.3
184,4,26,43.48,1.2,1.3
185,1,5,21.0,1.4,1.2
186,1,1,158.22,1.4,1.2
187,4,2,70.93,1.2,1.3
188,3,12,412.16,1.3,1.5
189,2,28,459.99,1.1,2.5
190,2,1,466.7,1.1,2.5
191,2,2,208.57,1.1,2.5
192,2,8,406.22,1.1,2.5
193,4,4,415.44,1.2,1.3
194,1,23,419.97,1.4,1.2
195,2,9,376.21,1.1,2.5
196,3,34,279.94,1.3,1.5
197,1,15,192.04,1.4,1.2
198,1,14,228.02,1.4,1.2
199,2,3,107.58,1.1,2.5
200,1,3,337.49,1.4,1.2
